Id,categoria_raiz,Cod_Categoria,subcategoria,Subcategoria_Cod2,tipo_especifico,Codigo
1,Gobierno,1,Poder Ejecutivo,1.1,Gobierno Estatal,1.1.1
2,Gobierno,1,Poder Ejecutivo,1.1,Gobierno Municipal,1.1.2
3,Gobierno,1,Poder Ejecutivo,1.1,Ayuntamiento,1.1.3
4,Gobierno,1,Poder Ejecutivo,1.1,Secretaría Estatal,1.1.4
5,Gobierno,1,Poder Ejecutivo,1.1,Secretaría Municipal,1.1.5
6,Gobierno,1,Poder Ejecutivo,1.1,Dependencia Estatal,1.1.6
7,Gobierno,1,Poder Ejecutivo,1.1,Dependencia Municipal,1.1.7
8,Gobierno,1,Poder Ejecutivo,1.1,Dirección Municipal,1.1.8
9,Gobierno,1,Poder Ejecutivo,1.1,Delegación,1.1.9
10,Gobierno,1,Poder Ejecutivo,1.1,Coordinación Administrativa,1.1.10
11,Gobierno,1,Poder Ejecutivo,1.1,Organismo Descentralizado,1.1.11
12,Gobierno,1,Poder Ejecutivo,1.1,Instituto Público,1.1.12
13,Gobierno,1,Poder Ejecutivo,1.1,Sistema DIF,1.1.13
14,Gobierno,1,Poder Ejecutivo,1.1,Unidad Administrativa,1.1.14
15,Gobierno,1,Poder Legislativo,1.2,Congreso del Estado,1.2.1
16,Gobierno,1,Poder Legislativo,1.2,Cámara Legislativa,1.2.2
17,Gobierno,1,Poder Legislativo,1.2,Diputado Local,1.2.3
18,Gobierno,1,Poder Legislativo,1.2,Diputado Federal,1.2.4
19,Gobierno,1,Poder Legislativo,1.2,Senador,1.2.5
20,Gobierno,1,Poder Legislativo,1.2,Comisión Legislativa,1.2.6
21,Gobierno,1,Poder Legislativo,1.2,Grupo Parlamentario,1.2.7
22,Gobierno,1,Poder Legislativo,1.2,Mesa Directiva Legislativa,1.2.8
23,Gobierno,1,Poder Legislativo,1.2,Junta de Coordinación Política,1.2.9
24,Gobierno,1,Poder Legislativo,1.2,Órgano Técnico Legislativo,1.2.10
25,Gobierno,1,Poder Judicial,1.3,Tribunal Superior de Justicia,1.3.1
26,Gobierno,1,Poder Judicial,1.3,Juzgado,1.3.2
27,Gobierno,1,Poder Judicial,1.3,Consejo de la Judicatura,1.3.3
28,Gobierno,1,Poder Judicial,1.3,Sala Judicial,1.3.4
29,Gobierno,1,Poder Judicial,1.3,Tribunal Especializado,1.3.5
30,Gobierno,1,Poder Judicial,1.3,Centro de Justicia Alternativa,1.3.6
31,Gobierno,1,Poder Judicial,1.3,Escuela Judicial,1.3.7
32,Gobierno,1,Poder Judicial,1.3,Archivo Judicial,1.3.8
33,Gobierno,1,Poder Judicial,1.3,Comunicación Social Judicial,1.3.9
34,Gobierno,1,Seguridad Pública,1.4,Policía Municipal,1.4.1
35,Gobierno,1,Seguridad Pública,1.4,Policía Estatal,1.4.2
36,Gobierno,1,Seguridad Pública,1.4,Guardia Nacional,1.4.3
37,Gobierno,1,Seguridad Pública,1.4,Seguridad Vial,1.4.4
38,Gobierno,1,Seguridad Pública,1.4,Tránsito Municipal,1.4.5
39,Gobierno,1,Seguridad Pública,1.4,Centro de Monitoreo / C5 / C4,1.4.6
40,Gobierno,1,Seguridad Pública,1.4,Secretaría de Seguridad Pública,1.4.7
41,Gobierno,1,Seguridad Pública,1.4,Dirección de Seguridad Pública,1.4.8
42,Gobierno,1,Seguridad Pública,1.4,Unidad de Prevención del Delito,1.4.9
43,Gobierno,1,Justicia y Órganos Autónomos,1.5,Fiscalía,1.5.1
44,Gobierno,1,Justicia y Órganos Autónomos,1.5,Defensoría Pública,1.5.2
45,Gobierno,1,Justicia y Órganos Autónomos,1.5,Derechos Humanos,1.5.3
46,Gobierno,1,Justicia y Órganos Autónomos,1.5,Instituto Electoral,1.5.4
47,Gobierno,1,Justicia y Órganos Autónomos,1.5,Tribunal Electoral,1.5.5
48,Gobierno,1,Justicia y Órganos Autónomos,1.5,Transparencia,1.5.6
49,Gobierno,1,Justicia y Órganos Autónomos,1.5,Auditoría Superior,1.5.7
50,Gobierno,1,Justicia y Órganos Autónomos,1.5,Sistema Penitenciario,1.5.8
51,Gobierno,1,Justicia y Órganos Autónomos,1.5,Procuraduría,1.5.9
52,Gobierno,1,Justicia y Órganos Autónomos,1.5,Comisión Estatal,1.5.10
53,Gobierno,1,Justicia y Órganos Autónomos,1.5,Órgano Autónomo,1.5.11
54,Gobierno,1,Protección Civil,1.6,Protección Civil Estatal,1.6.1
55,Gobierno,1,Protección Civil,1.6,Protección Civil Municipal,1.6.2
56,Gobierno,1,Protección Civil,1.6,Gestión de Riesgos,1.6.3
57,Gobierno,1,Protección Civil,1.6,Prevención de Desastres,1.6.4
58,Gobierno,1,Protección Civil,1.6,Alertamiento Preventivo,1.6.5
59,Gobierno,1,Protección Civil,1.6,Atención de Emergencias,1.6.6
