id_prueba,sitio,url_web,url_facebook,municipio,estado,pais,tipo_fuente,enlace_valido,categoria_raiz,subcategoria,tipo_especifico,duplicado,pagina_activa,agregado_por,estado_validacion,observaciones
1,AlertaQro Noticias Queretaro,http://www.alertaqronoticias.com/,https://www.facebook.com/alertaqro?locale=es_LA,Corregidora,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
2,Criptica Noticias Queretaro,http://www.criptica.com.mx/,https://www.facebook.com/CripticaNoticias/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
3,Noticias Queretaro,https://noticiasdequeretaro.com.mx/,https://www.facebook.com/noticiasdeqro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
4,Alerta Informativa,http://www.alertaqronoticias.com/,https://www.facebook.com/profile.php?id=100063767697033&sk=about&locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
5,Diario de Queretaro,https://www.oem.com.mx/diariodequeretaro/,https://www.facebook.com/DiarioQro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
6,El Universal Queretaro,http://www.eluniversalqueretaro.mx/,https://www.facebook.com/ElUniversalQueretaro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
7,Fiscalia General de Queretaro,http://fiscaliageneralqro.gob.mx/,https://www.facebook.com/fiscaliaqro/about?locale=es_LA,Querétaro,Querétaro,México,Oficial,Sí,Gobierno,Justicia y Órganos Autónomos,Fiscalía,No,Sí,Mauricio,Aprobado,ninguna
8,POES Querétaro,NA,https://www.facebook.com/poesqro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
9,Pulso Pedro Escobedo ,instagram.com/pulsopedroescobedo,https://www.facebook.com/pulsopedroescobedo/about?locale=es_LA,Pedro Escobedo,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
10,amealco.MX,https://amealco.mx/,https://www.facebook.com/amealcoMX/about?locale=es_LA,Amealco de Bonfil,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
11,Informamte Serrano ,NA,https://www.facebook.com/profile.php?id=61565956828332&sk=about&locale=es_LA,Jalpan de Serra,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
12,La Voz Del Pueblo Querétaro ,http://www.lavozdelpuebloqro.com/,https://www.facebook.com/profile.php?id=61566823675631&sk=about&locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
13,Mala Vida Radio ,https://malavidaqro.com/,https://www.facebook.com/profile.php?id=61566823675631&sk=about&locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Periódico,Híbrido,Pendiente,Pendiente,Mauricio,Enlace inválido,Enlace no valido
14,Querétaro Extra ,http://extraqueretaro.com/,https://www.facebook.com/profile.php?id=61566823675631&sk=about&locale=es_LA,Querétaro,Querétaro,México,Oficial,Sí,Medio Informativo,Portal Digital,Noticias Estatales,Pendiente,Pendiente,Mauricio,Enlace inválido,Enlace no valido
